,ID,N_DCODE,음식코드명
2250,A622245902,144,잡곡밥
2251,A622245902,144,잡곡밥
2252,A622245902,144,잡곡밥
2253,A622245902,144,잡곡밥
2348,A624177901,144,잡곡밥
2349,A624177901,144,잡곡밥
2350,A624177901,144,잡곡밥
2351,A624177901,144,잡곡밥
2352,A624177901,144,잡곡밥
2353,A624177902,144,잡곡밥
2354,A624177902,144,잡곡밥
2355,A624177902,144,잡곡밥
2356,A624177902,144,잡곡밥
2357,A624177902,144,잡곡밥
2389,A624244201,144,잡곡밥
2390,A624244201,144,잡곡밥
2391,A624244201,144,잡곡밥
2392,A624244201,144,잡곡밥
2393,A624244201,144,잡곡밥
2394,A624244201,144,잡곡밥
2414,A624283301,144,잡곡밥
2415,A624283301,144,잡곡밥
2416,A624283301,144,잡곡밥
2417,A624283301,144,잡곡밥
2418,A624283301,144,잡곡밥
2419,A624283301,144,잡곡밥
2420,A624283301,144,잡곡밥
2421,A624283301,144,잡곡밥
2422,A624283301,144,잡곡밥
2423,A624283301,144,잡곡밥
2424,A624283301,144,잡곡밥
2425,A624283301,144,잡곡밥
2426,A624283301,144,잡곡밥
2427,A624283301,144,잡곡밥
2428,A624283301,144,잡곡밥
2429,A624283301,144,잡곡밥
2481,A625172802,144,잡곡밥
2482,A625172802,144,잡곡밥
2483,A625172802,144,잡곡밥
2484,A625172802,144,잡곡밥
2485,A625172802,144,잡곡밥
2486,A625172802,144,잡곡밥
2487,A625240802,144,잡곡밥
2488,A625240802,144,잡곡밥
2489,A625240802,144,잡곡밥
2490,A625240802,144,잡곡밥
2527,A626225501,144,잡곡밥
2528,A626225501,144,잡곡밥
2529,A626225501,144,잡곡밥
2530,A626225501,144,잡곡밥
2531,A626256101,144,잡곡밥
2532,A626256101,144,잡곡밥
2533,A626256101,144,잡곡밥
2534,A626256101,144,잡곡밥
2535,A626256101,144,잡곡밥
2536,A626256101,144,잡곡밥
2537,A626256101,144,잡곡밥
2538,A626256101,144,잡곡밥
2539,A626256101,144,잡곡밥
2540,A626256101,144,잡곡밥
2541,A626256101,144,잡곡밥
2542,A626256101,144,잡곡밥
2543,A626256101,144,잡곡밥
2544,A626256101,144,잡곡밥
2545,A626256101,144,잡곡밥
2546,A626256101,144,잡곡밥
2547,A626256101,144,잡곡밥
2548,A626256101,144,잡곡밥
2549,A626256101,144,잡곡밥
2550,A626256101,144,잡곡밥
2551,A626256101,144,잡곡밥
2552,A626256101,144,잡곡밥
2553,A626256101,144,잡곡밥
2554,A626256101,144,잡곡밥
2555,A626256102,144,잡곡밥
2556,A626256102,144,잡곡밥
2557,A626256102,144,잡곡밥
2558,A626256102,144,잡곡밥
2559,A626256102,144,잡곡밥
2560,A626256102,144,잡곡밥
2561,A626256102,144,잡곡밥
2562,A626256102,144,잡곡밥
2563,A626256102,144,잡곡밥
2564,A626256102,144,잡곡밥
2565,A626256102,144,잡곡밥
2566,A626256102,144,잡곡밥
2567,A626256102,144,잡곡밥
2568,A626256102,144,잡곡밥
2569,A626256102,144,잡곡밥
2570,A626256102,144,잡곡밥
2571,A626269701,144,잡곡밥
2572,A626269701,144,잡곡밥
2573,A626269701,144,잡곡밥
2574,A626269701,144,잡곡밥
2575,A626269701,144,잡곡밥
2576,A626269701,144,잡곡밥
2607,A627191501,144,잡곡밥
2608,A627191501,144,잡곡밥
2609,A627191501,144,잡곡밥
2610,A627191501,144,잡곡밥
2611,A627191501,144,잡곡밥
2612,A627191501,144,잡곡밥
2613,A627191501,144,잡곡밥
2614,A627191501,144,잡곡밥
2615,A627191501,144,잡곡밥
2616,A627191501,144,잡곡밥
2617,A627191502,144,잡곡밥
2618,A627191502,144,잡곡밥
2619,A627191502,144,잡곡밥
2620,A627191502,144,잡곡밥
2621,A627191502,144,잡곡밥
2622,A627191502,144,잡곡밥
2623,A627191502,144,잡곡밥
2624,A627191502,144,잡곡밥
2625,A627191502,144,잡곡밥
2626,A627191502,144,잡곡밥
2627,A627225501,144,잡곡밥
2628,A627225501,144,잡곡밥
2629,A627225501,144,잡곡밥
2630,A627225501,144,잡곡밥
2631,A627225501,144,잡곡밥
2632,A627225501,144,잡곡밥
2633,A627225501,144,잡곡밥
2634,A627225501,144,잡곡밥
2635,A627225501,144,잡곡밥
2645,A627279901,144,잡곡밥
2646,A627279901,144,잡곡밥
2647,A627279901,144,잡곡밥
2648,A627279901,144,잡곡밥
2649,A627279901,144,잡곡밥
2650,A627279901,144,잡곡밥
2651,A627334301,144,잡곡밥
2652,A627334301,144,잡곡밥
2653,A627334301,144,잡곡밥
2654,A627334301,144,잡곡밥
2655,A627334301,144,잡곡밥
2656,A627334301,144,잡곡밥
2657,A627334301,144,잡곡밥
2658,A627334301,144,잡곡밥
2659,A627334301,144,잡곡밥
2660,A627334301,144,잡곡밥
2661,A627334301,144,잡곡밥
2662,A627334301,144,잡곡밥
2663,A627334301,144,잡곡밥
2664,A627334301,144,잡곡밥
2665,A627334301,144,잡곡밥
2666,A627334301,144,잡곡밥
2667,A627358101,144,잡곡밥
2668,A627358101,144,잡곡밥
2669,A627358101,144,잡곡밥
2670,A627358101,144,잡곡밥
2671,A627400601,144,잡곡밥
2672,A627400601,144,잡곡밥
2673,A627400601,144,잡곡밥
2674,A627400601,144,잡곡밥
2675,A627400601,144,잡곡밥
2676,A627400601,144,잡곡밥
2677,A627400601,144,잡곡밥
2678,A627400601,144,잡곡밥
2679,A627400601,144,잡곡밥
2680,A627400601,144,잡곡밥
2681,A627400601,144,잡곡밥
